Screaming,,,,,,,,Child singing,,,,,,,,,,,,Purr,,,,,"Bird flight, flapping wings",Rhythm and blues,Sitar,,,,,Tabla,,Funny music,,,,,,,,,,"Ice cream truck, ice cream van",,,,,,,,,,,,,,,,,,Tick-tock,,Fusillade,,,Fill (with liquid),,,Tick-tock
Whispering,,,,,,,,Rapping,,,,,,,,,,,,Meow,,,,,Fowl,Reggae,Mandolin,,,,,Cymbal,,Sad music,,,,,,,,,,Bus,,,,,,,,,,,,,,,,,,,,Cap gun,,,Spray,,,Plop
Laughter,,,,,,,,Humming,,,,,,,,,,,,Hiss,,,,,"Chicken, rooster",Country,Zither,,,,,Hi-hat,,,,,,,,,,,,Motorcycle,,,,,,,,,,,,,,,,,,,,,,,Pump (liquid),,,Rumble
Baby laughter,,,,,,,,Vocal music,,,,,,,,,,,,Caterwaul,,,,,Cluck,Bluegrass,Ukulele,,,,,Wood block,,,,,,,,,,,,"Traffic noise, roadway noise",,,,,,,,,,,,,,,,,,,,,,,Stir,,,Sizzle
Giggle,,,,,,,,Jingle (music),,,,,,,,,,,,"Livestock, farm animals, working animals",,,,,"Crowing, cock-a-doodle-doo",Funk,Piano,,,,,Tambourine,,,,,,,,,,,,"Accelerating, revving, vroom",,,,,,,,,,,,,,,,,,,,,,,"Water tap, faucet",,,Whir
"Baby cry, infant cry",,,,,,,,,,,,,,,,,,,,Horse,,,,,Turkey,Folk music,Organ,,,,,Rattle (instrument),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sink (filling or washing),,,Hum
,,,,,,,,,,,,,,,,,,,,Clip-clop,,,,,Gobble,Swing music,Hammond organ,,,,,Maraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathtub (filling or washing),,,Creak
,,,,,,,,,,,,,,,,,,,,"Neigh, whinny",,,,,Duck,Disco,Sampler,,,,,Gong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gurgling,,,Squeal
,,,,,,,,,,,,,,,,,,,,"Cattle, bovinae",,,,,Quack,Dance music,Synthesizer,,,,,Tubular bells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clang
,,,,,,,,,,,,,,,,,,,,Moo,,,,,Goose,Heavy metal,Electric piano,,,,,Mallet percussion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clatter
,,,,,,,,,,,,,,,,,,,,Cowbell,,,,,Honk,Punk rock,Electronic organ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clicking
,,,,,,,,,,,,,,,,,,,,Pig,,,,,,Grunge,Keyboard (musical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clickety-clack
,,,,,,,,,,,,,,,,,,,,Oink,,,,,,Electronic music,Harpsichord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boing
,,,,,,,,,,,,,,,,,,,,Goat,,,,,,House music,Organ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jingle, tinkle"
,,,,,,,,,,,,,,,,,,,,Bleat,,,,,,Techno,Hammond organ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beep, bleep"
,,,,,,,,,,,,,,,,,,,,Sheep,,,,,,Dubstep,Electric piano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ping
,,,,,,,,,,,,,,,,,,,,"Roaring cats (lions, tigers)",,,,,,Drum and bass,Electronic organ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ding
,,,,,,,,,,,,,,,,,,,,Roar,,,,,,Electronica,Keyboard (musical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zing
,,,,,,,,,,,,,,,,,,,,"Rodents, rats, mice",,,,,,Electronic dance music,Brass instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tearing
,,,,,,,,,,,,,,,,,,,,Mouse,,,,,,Trance music,French horn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crushing
,,,,,,,,,,,,,,,,,,,,,,,,,,Ambient music,Trumpet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crumpling, crinkling"
,,,,,,,,,,,,,,,,,,,,,,,,,,Theme music,Trombone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rustle
,,,,,,,,,,,,,,,,,,,,,,,,,,Soundtrack music,Bowed string instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crunch
,,,,,,,,,,,,,,,,,,,,,,,,,,Christmas music,String section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roll
,,,,,,,,,,,,,,,,,,,,,,,,,,Scary music,"Violin, fiddle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scratch
,,,,,,,,,,,,,,,,,,,,,,,,,,Angry music,Pizzicato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scrape
,,,,,,,,,,,,,,,,,,,,,,,,,,Exciting music,Cello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rub
,,,,,,,,,,,,,,,,,,,,,,,,,,Tender music,Double bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flap
,,,,,,,,,,,,,,,,,,,,,,,,,,Happy music,"Wind instrument, woodwind instrument",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whip
,,,,,,,,,,,,,,,,,,,,,,,,,,Funny music,Flute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bouncing
,,,,,,,,,,,,,,,,,,,,,,,,,,Sad music,Saxophone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basketball bounce
,,,,,,,,,,,,,,,,,,,,,,,,,,Classical music,Clarinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bang
,,,,,,,,,,,,,,,,,,,,,,,,,,Opera,Didgeridoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thump, thud"
,,,,,,,,,,,,,,,,,,,,,,,,,,Middle Eastern music,Shofar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thunk
,,,,,,,,,,,,,,,,,,,,,,,,,,Jazz,Harp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Slap, smack"
,,,,,,,,,,,,,,,,,,,,,,,,,,Flamenco,Harmonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whack, thwack"
,,,,,,,,,,,,,,,,,,,,,,,,,,Music of Latin America,Accordion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Smash, crash"
,,,,,,,,,,,,,,,,,,,,,,,,,,Salsa music,Bagpipes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breaking
,,,,,,,,,,,,,,,,,,,,,,,,,,Blues,"Marimba, xylophone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arrow
,,,,,,,,,,,,,,,,,,,,,,,,,,New-age music,Glockenspiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whoosh, swoosh, swish"
,,,,,,,,,,,,,,,,,,,,,,,,,,Music of Africa,Vibraphone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glass
,,,,,,,,,,,,,,,,,,,,,,,,,,Afrobeat,Steelpan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chink, clink"
,,,,,,,,,,,,,,,,,,,,,,,,,,Christian music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shatter
,,,,,,,,,,,,,,,,,,,,,,,,,,Gospel music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crack
,,,,,,,,,,,,,,,,,,,,,,,,,,Music of Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wood
,,,,,,,,,,,,,,,,,,,,,,,,,,Carnatic music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chop
,,,,,,,,,,,,,,,,,,,,,,,,,,Music of Bollywood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Splinter
,,,,,,,,,,,,,,,,,,,,,,,,,,Ska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boom
,,,,,,,,,,,,,,,,,,,,,,,,,,Music for children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Firecracker
,,,,,,,,,,,,,,,,,,,,,,,,,,Lullaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burst, pop"
,,,,,,,,,,,,,,,,,,,,,,,,,,Orchestra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eruption
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Explosion
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artillery fire
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fireworks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gunshot, gunfire"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Machine gun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fusillade
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cap gun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gunshot, gunfire"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tools
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hammer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sawing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanding
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power tool
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jackhammer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filing (rasp)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drill
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shuffling cards
