Talking,Speech,Man_speaking,Woman_speaking,Baby,Shout,Laughter,Cry,Singing,Kids,Groan,Whistling,Breathing,Walking,Mouth_sounds,Fart,Hands,Heartbeat,Cheering,Crowd,Mammal,Dog bark,Cat,Rooster,Duck,Bird,Music,Musical_instrument,Guitar,Piano,Organ,Electronic_instrument,Percussion,Bell,Ambient_music,Weather,Wind,Rain,River,Wave,Thunder,River_sea,Fire,Boat,Car,Traffic,Car honk,Emergency_vehicle,Train,Cycling,Engine,Door,Doorbell,Knock,Dishes,Radio_TV,Dryer_Vacuum,Zipper,Keys,Alarm,Telephone,Whistle,Mechanisms,Tools,Boom,Bang,Glass,Water,Beep,Silence,Sudden_noise
Speech,Speech,"Male speech, man speaking","Female speech, woman speaking",Babbling,Shout,Laughter,"Crying, sobbing",Singing,Child singing,Groan,Whistling,Breathing,Run,"Chewing, mastication",Fart,Hands,"Heart sounds, heartbeat",Cheering,Crowd,Dog,Dog,Cat,Fowl,Duck,"Bird vocalization, bird call, bird song",Music,Musical instrument,Guitar,Piano,Organ,Sampler,Percussion,Bell,Ambient music,Wind,Wind,Rain,Stream,Ocean,Thunderstorm,Stream,Fire,"Boat, Water vehicle",Motor vehicle (road),"Traffic noise, roadway noise",Toot,Emergency vehicle,Train,Bicycle,Engine,Door,Doorbell,Knock,"Dishes, pots, and pans",Television,Hair dryer,Zipper (clothing),Keys jangling,Alarm,Telephone,Whistle,Mechanisms,Tools,Boom,Bang,Glass,Water,"Beep, bleep",Silence,Mechanisms
"Hubbub, speech noise, speech babble",,,,Baby laughter,Bellow,Giggle,Whimper,Choir,"Child speech, kid speaking",Grunt,,Gasp,Shuffle,Biting,,Finger snapping,,Applause,"Hubbub, speech noise, speech babble",Bark,Bark,Purr,"Chicken, rooster",Quack,"Chirp, tweet",Pop music,Guitar,Electric guitar,,Hammond organ,Synthesizer,Drum kit,Church bell,Theme music,Rustling leaves,,,Waterfall,,,Waterfall,Crackle,"Sailboat, sailing ship",Car,,Car alarm,Police car (siren),Rail transport,Bicycle bell,Light engine (high frequency),Slam,Ding-dong,Tap,"Cutlery, silverware",Radio,Vacuum cleaner,,,Alarm clock,Telephone bell ringing,Steam whistle,"Ratchet, pawl",Hammer,Firecracker,"Thump, thud","Chink, clink",Liquid,Ping,,"Ratchet, pawl"
"Male speech, man speaking",,,,"Baby cry, infant cry",Whoop,Belly laugh,"Wail, moan",Yodeling,Children shouting,,,Pant,"Walk, footsteps",Gargling,,Clapping,,,Chatter,Yip,Yip,Meow,Cluck,Goose,Squawk,Hip hop music,Electric guitar,Bass guitar,,,Electric piano,Drum machine,Jingle bell,Soundtrack music,Wind noise (microphone),,,,,,Ocean,,"Rowboat, canoe, kayak",Skidding,,"Vehicle horn, car horn, honking",Ambulance (siren),Train whistle,,Lawn mower,Squeak,,,Clang,,,,,Siren,Ringtone,,Gears,Sawing,"Burst, pop",Thunk,Shatter,"Splash, splatter",Ding,,Gears
"Female speech, woman speaking",,,,,Yell,"Chuckle, chortle",Sigh,A capella,Children playing,,,Snort,,Stomach rumble,,,,,,Howl,Howl,Hiss,"Crowing, cock-a-doodle-doo",Honk,"Pigeon, dove",Beatboxing,Bass guitar,Acoustic guitar,,,Electronic organ,Drum,Tuning fork,Christmas music,Thunderstorm,,,,,,"Waves, surf",,"Motorboat, speedboat",Tire squeal,,"Air horn, truck horn","Fire engine, fire truck (siren)",Train horn,,Chainsaw,Sliding door,,,Clatter,,,,,Civil defense siren,"Telephone dialing, DTMF",,Pulleys,Sanding,Eruption,"Slap, smack",,Slosh,Zing,,Pulleys
"Child speech, kid speaking",,,,,Battle cry,Snicker,,Song,,,,Wheeze,,"Burping, eructation",,,,,,Bow-wow,Bow-wow,Caterwaul,,,Coo,Rock music,Acoustic guitar,"Steel guitar, slide guitar",,,Keyboard (musical),Snare drum,Chime,Scary music,Thunder,,,,,,,,Ship,Car passing by,,,,"Railroad car, train wagon",,Medium engine (mid frequency),,,,,,,,,Buzzer,Dial tone,,Sewing machine,Power tool,Explosion,"Whack, thwack",,Squish,,,Sewing machine
Conversation,,,,,Screaming,,,Chant,,,,Snoring,,Hiccup,,,,,,Growling,Growling,,,,Crow,Progressive rock,"Steel guitar, slide guitar",Tapping (guitar technique),,,,Rimshot,Bicycle bell,Angry music,Rain,,,,,,,,,"Race car, auto racing",,,,Train wheels squealing,,Heavy engine (low frequency),,,,,,,,,"Smoke detector, smoke alarm",Busy signal,,Mechanical fan,Jackhammer,Artillery fire,"Smash, crash",,Drip,,,Mechanical fan
"Narration, monologue",,,,,,,,Mantra,,,,,,,,,,,,Whimper (dog),Whimper (dog),,,,Caw,Rock and roll,Tapping (guitar technique),Strum,,,,Drum roll,Wind chime,Exciting music,Raindrop,,,,,,,,,Truck,,,,"Subway, metro, underground",,Engine knocking,,,,,,,,,Fire alarm,,,Printer,Filing (rasp),Fireworks,Breaking,,Pour,,,Printer
Babbling,,,,,,,,Male singing,,,,,,,,,,,,"Canidae, dogs, wolves","Canidae, dogs, wolves",,,,Owl,Psychedelic rock,Strum,,,,,Bass drum,Change ringing (campanology),Tender music,Rain on surface,,,,,,,,,Air brake,,,,,,Engine starting,,,,,,,,,Foghorn,,,Clock,Drill,"Gunshot, gunfire",,,"Trickle, dribble",,,Clock
Children shouting,,,,,,,,Female singing,,,,,,,,,,,,Cat,,,,,Hoot,Soul music,Banjo,,,,,Timpani,,Happy music,,,,,,,,,,Reversing beeps,,,,,,,,,,,,,,,,,,Tick,,Machine gun,,,Gush,,,Tick
